n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error
7,"YR_BUILT, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4225142904220758,0.5475224522123754,-0.9695498098648385,1043972.3655912078,1.0,
5,"YR_BUILT, LIVING_AREA, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.42234360514209357,0.547603360810683,-0.49302321839491126,963669.6195832391,1.0,
5,"BED_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.42234183639286016,0.5476041991743641,0.46465718927780775,862811.0203849738,1.0,
5,"BED_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.42198446948105206,0.5477735600321989,0.44997377138459327,866266.0125049698,1.0,
6,"LAND_SF, LIVING_AREA, BED_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.42173987481596054,0.5478894464680174,-0.8113613234022883,979298.5417518369,1.0,
4,"LIVING_AREA, TT_RMS, RES_FLOOR, emp_dist_m",16000,4000,0.42081275379215066,0.5483284845092397,-1.3352102786165658,1061970.481401246,1.0,
5,"LIVING_AREA, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.42021212313972256,0.548612725536415,-0.5032420431657674,966081.2127964125,1.0,
7,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.41978613600479986,0.5488142294495719,-0.8559074366291195,1034190.063272329,1.0,
7,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.4190029523753953,0.5491845044455621,-1.7049779595036578,1085195.545121126,1.0,
7,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.4174397723182217,0.5499228021787738,-0.8768514413446562,1037950.8191702449,1.0,
6,"YR_BUILT, BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4166602968805596,0.5502905822010917,-1.7636387873900525,1082830.0872457935,1.0,
4,"LIVING_AREA, TT_RMS, RES_FLOOR, INT_COND",16000,4000,0.41620189512192973,0.550506755240548,-3.258420873675261,1172355.655740316,1.0,
4,"LAND_SF, BED_RMS, RES_FLOOR, INT_COND",16000,4000,0.4158606573988446,0.5506676209811285,-0.01044572787948872,914345.2384388901,1.0,
7,"LAND_SF, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4158147227075951,0.5506892718510947,-1.7921823441408744,1104174.3405506148,1.0,
5,"LIVING_AREA, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.41412909789519836,0.5514831868102797,-0.5100368546885536,967972.4939078804,1.0,
4,"YR_BUILT, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.41377198823609207,0.5516512357531083,0.060254505991311436,912927.2909993633,1.0,
5,"LIVING_AREA, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.4130815477720742,0.5519759986830657,-0.5061516475536112,967869.621525215,1.0,
6,"BED_RMS, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.41205868137996515,0.5524567740946184,-1.8369780999237846,1084282.193644126,1.0,
6,"BED_RMS, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.4119516218354,0.5525070708474594,-1.641161098519608,1077633.9478699262,1.0,
4,"RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.4112457738058368,0.5528385648916836,0.057456768717711215,915262.2029859641,1.0,
4,"LAND_SF, TT_RMS, RES_FLOOR, INT_COND",16000,4000,0.41110569078132275,0.552904329763336,-1.5390803530117707,1062697.3879801591,1.0,
6,"BED_RMS, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.41034245956374116,0.5532625071106122,-1.5871166686547729,1075174.420329336,1.0,
2,"BED_RMS, RES_FLOOR",16000,4000,0.40943063772416555,0.5536901129051426,-2.537026184110605,1117354.1291055426,1.0,
3,"LAND_SF, RES_FLOOR, INT_COND",16000,4000,0.40876884083541754,0.5540002608900372,-0.3943759486877565,992897.4821033129,1.0,
4,"YR_BUILT, BED_RMS, RES_FLOOR, INT_COND",16000,4000,0.4057868344636023,0.5553956156685447,-0.11607780770863818,932128.6326737158,1.0,
3,"LIVING_AREA, RES_FLOOR, INT_COND",16000,4000,0.4048216466922764,0.5558465006215688,-2.189030826849025,1086764.1856589853,1.0,
5,"LAND_SF, LIVING_AREA, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.40339250233273705,0.5565134507789828,-0.42707922725579595,955693.5198668661,1.0,
4,"YR_BUILT, TT_RMS, RES_FLOOR, INT_COND",16000,4000,0.4024111810389325,0.5569709493164426,-1.3834897664643582,1061576.0196232095,1.0,
5,"YR_BUILT, LIVING_AREA, BED_RMS, RES_FLOOR, INT_COND",16000,4000,0.4012565628515026,0.5575087592911236,-0.804607566523839,990091.3625398438,1.0,
6,"YR_BUILT, LAND_SF, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.40079288824271453,0.5577245884862759,-0.08906544579503062,940656.9128379822,1.0,
3,"BED_RMS, emp_dist_m, INT_COND",16000,4000,0.4002923989311846,0.5579574603323101,-2.54004331604517,1126120.4519878866,1.0,
4,"BED_RMS, RES_FLOOR, NUM_PARKING, INT_COND",16000,4000,0.4002649472917449,0.5579702304487119,-0.11408751811265883,939203.8935776617,1.0,
4,"RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.40005463278031184,0.558068056104979,0.05445525602240431,917645.9837596085,1.0,
4,"BED_RMS, RES_FLOOR, neighborhood_walkability, INT_COND",16000,4000,0.3994432800079678,0.5583523233068339,-0.10186360657464277,932534.4244470823,1.0,
5,"YR_BUILT, LIVING_AREA, TT_RMS, RES_FLOOR, INT_COND",16000,4000,0.39926244308255676,0.5584363812436319,-1.1994102099130117,1059625.3707328257,1.0,
