term,coefficient_log,std_error,t_stat,p_value,ci_low,ci_high,pct_effect_1_unit
const,6.844610979649973,0.03602484338267881,189.99696700807715,0.0,6.774002035219468,6.915219924080478,93780.799454795
LIVING_AREA,-0.24636508847777294,0.0035985350730659295,-68.46260588697595,0.0,-0.25341824233346755,-0.23931193462207834,-21.836319376464974
emp_dist_m,-6.048138123253904e-05,5.24336143300134e-07,-115.3484878075991,0.0,-6.150908373250288e-05,-5.945367873257521e-05,-0.006047955227067405
median_hh_income,3.8089813921988987e-06,2.732136607030947e-08,139.41401694178737,0.0,3.7554313240381163e-06,3.862531460359682e-06,0.0003808988646377733
LU_CM,1.3913880986244411,0.020264262077631063,68.66216461740005,0.0,1.351670003537521,1.4311061937113612,302.0426930562673
LU_R1,0.9810222797207091,0.020265420341656046,48.40868154627885,0.0,0.9413019144282171,1.020742645013201,166.71814542395649
LU_R2,0.8271383785701395,0.020129203550670053,41.091460796649656,0.0,0.7876849991385729,0.8665917580017061,128.67655111139928
LU_R3,0.8270806987580426,0.02010005276614351,41.14818544910368,0.0,0.7876844550675777,0.8664769424485075,128.66336147129184
LU_R4,0.9385426682103875,0.05493035219541812,17.08604861792009,2.7772627927433976e-65,0.8308787945742507,1.046206541846524,155.62533931721129
LU_RC,1.4628401427798727,0.13689131779421415,10.686142600942228,1.2549662942137977e-26,1.194532204603029,1.7311480809567166,331.82064514828306
