feature,coefficient
num__HLF_BTH,0.047040826898042676
num__FULL_BTH,0.022662988416264795
num__BED_RMS,0.015397796086930704
num__YR_BUILT,0.0008884163811337942
num__YR_REMODEL,6.013998362508488e-05
num__GROSS_AREA,1.1445285053923726e-05
num__LIVING_AREA,-5.315661837812513e-06
num__NUM_PARKING,-0.03058642686258395
