n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error
10,"GROSS_AREA, LIVING_AREA, BED_RMS, FULL_BTH, HLF_BTH, NUM_PARKING, YR_BUILT, YR_REMODEL, emp_dist_m, neighborhood_walkability",77721,19431,0.19910952059091513,1.2264774204827937,-4.555502118103885,3568615.752630555,1000.0,
10,"GROSS_AREA, LIVING_AREA, BED_RMS, FULL_BTH, HLF_BTH, NUM_PARKING, YR_BUILT, YR_REMODEL, emp_dist_m, neighborhood_walkability",77721,19431,0.19910952059091513,1.2264774204827937,-4.555502118103885,3568615.752630555,1000.0,
8,"GROSS_AREA, LIVING_AREA, BED_RMS, FULL_BTH, HLF_BTH, NUM_PARKING, YR_BUILT, YR_REMODEL",77721,19431,0.1007017609504336,1.2996453678302087,-4.694877184729368,3658754.2031411477,1000.0,
8,"GROSS_AREA, LIVING_AREA, BED_RMS, FULL_BTH, HLF_BTH, NUM_PARKING, YR_BUILT, YR_REMODEL",77721,19431,0.1007017609504336,1.2996453678302087,-4.694877184729368,3658754.2031411477,1000.0,
8,"GROSS_AREA, LIVING_AREA, BED_RMS, FULL_BTH, HLF_BTH, NUM_PARKING, YR_BUILT, YR_REMODEL",77721,19431,0.1007017609504336,1.2996453678302087,-4.694877184729368,3658754.2031411477,1000.0,
8,"GROSS_AREA, LIVING_AREA, BED_RMS, FULL_BTH, HLF_BTH, NUM_PARKING, YR_BUILT, YR_REMODEL",77721,19431,0.1007017609504336,1.2996453678302087,-4.694877184729368,3658754.2031411477,1000.0,
8,"GROSS_AREA, LIVING_AREA, BED_RMS, FULL_BTH, HLF_BTH, NUM_PARKING, YR_BUILT, YR_REMODEL",77721,19431,0.1007017609504336,1.2996453678302087,-4.694877184729368,3658754.2031411477,1000.0,
2,"GROSS_AREA, LIVING_AREA",77721,19431,0.08195267372978698,1.3131233582638995,-3.4940318793886886,3318943.818202481,1000.0,
