TOTAL_VALUE,LU,LIVING_AREA,LAND_SF,GROSS_AREA,INT_COND,OVERALL_COND,RES_FLOOR,YR_BUILT,BLDG_TYPE,neighborhood_walkability,emp_dist_m,median_hh_income,neighborhood_name
775900.0,R1,2753.0,4000.0,4278.0,G - Good,A - Average,2.5,1915.0,CL - Colonial,79.74,5513.789170175638,107273.0,Dorchester
2105600.0,R3,4617.0,2997.0,6594.0,A - Average,A - Average,3.0,1920.0,RE - Row End,82.03,2499.861350067967,46985.0,Allston
1247400.0,R1,2287.0,9075.0,4689.0,G - Good,G - Good,2.0,1932.0,CL - Colonial,48.27,7051.5549588746735,165000.0,West Roxbury
1034600.0,R1,2208.0,8835.0,3472.0,G - Good,A - Average,2.0,1929.0,CL - Colonial,46.4,7030.232677569635,165000.0,West Roxbury
742600.0,R1,876.0,858.0,1588.0,G - Good,A - Average,2.0,1890.0,RE - Row End,83.7,1976.3316972126609,167250.0,South Boston
884000.0,R2,4166.2,5957.0,6588.0,G - Good,G - Good,2.5,1880.0,CV - Conventional,75.18,3409.5816214477068,47691.0,Dorchester
977700.0,R3,5288.0,3844.0,7300.0,A - Average,A - Average,3.0,1890.0,RE - Row End,73.61,3879.4208782880487,47691.0,Dorchester
799000.0,R1,2911.5,11200.0,5467.0,G - Good,A - Average,1.5,1952.0,CP - Cape,62.45,7648.679724136867,93225.0,Hyde Park
790900.0,R1,2698.8,4047.0,4357.0,A - Average,A - Average,2.5,1896.0,VT - Victorian,75.59,5450.2792906962,107273.0,Dorchester
847700.0,R1,2712.0,3312.0,3916.0,A - Average,A - Average,3.0,1895.0,CL - Colonial,82.38,4188.922538244208,129732.0,Dorchester
2015000.0,CM,4738.0,7520.0,4738.0,A - Average,A - Average,3.0,1999.0,FS - Free Standing,82.96,4124.429246511583,129732.0,Dorchester
774900.0,R3,3870.0,4254.0,5748.0,A - Average,A - Average,3.0,1920.0,DK - Decker,61.4,5821.847550269201,74679.0,Dorchester
698000.0,R3,4550.0,4558.0,6426.0,A - Average,A - Average,3.0,1910.0,DK - Decker,65.5,6062.632124036534,74679.0,Dorchester
1806500.0,R3,4512.0,3146.0,7984.0,A - Average,A - Average,3.0,1880.0,DK - Decker,70.14,1079.2436708444836,89253.0,Mission Hill
922300.0,R1,1848.0,5000.0,2996.0,A - Average,G - Good,2.0,1928.0,TD - Tudor,74.05,6205.097147741978,154464.0,West Roxbury
439500.0,R1,2101.0,7312.0,3005.0,A - Average,A - Average,1.0,1950.0,RR - Raised Ranch,60.15,6951.173110521791,93452.0,Mattapan
