n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error,balanced_holdout_score
5,"LIVING_AREA, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7620599104844332,0.2958427170516931,0.8305106724580411,282789.3610983821,1.0,,
6,"LU, LIVING_AREA, OVERALL_COND, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.7790450562567293,0.2850879976497016,0.8292242820744171,270877.30621940386,1.0,,
6,"LIVING_AREA, LAND_SF, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7604510244235488,0.29684123589396394,0.8289176478561735,283965.8232207286,1.0,,
6,"LIVING_AREA, GROSS_AREA, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7734559874343897,0.28867113938074085,0.8287936993676431,274046.0396123421,1.0,,
4,"LIVING_AREA, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7571925039487444,0.2988533423341556,0.8271266931004184,287156.41048752377,1.0,,
5,"LIVING_AREA, LAND_SF, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7559823290171342,0.2995971729527138,0.8259268989753124,288044.2300233611,1.0,,
6,"LU, GROSS_AREA, BLDG_TYPE, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.7635016343613287,0.29494507182658847,0.8248815027719048,274587.7232207599,1.0,,
6,"LIVING_AREA, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.7719868565762422,0.28960563844899145,0.8234546559342172,277882.0479935013,1.0,,
6,"LIVING_AREA, GROSS_AREA, neighborhood_walkability, emp_dist_m, median_hh_income, neighborhood_name",55188,13797,0.7964790730838348,0.27360977445088863,0.8193844142096014,267573.9323950499,1.0,,
6,"LIVING_AREA, LAND_SF, INT_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.7944258387620649,0.2749864760742603,0.8183409112635601,272233.6754825273,1.0,,
6,"LU, LIVING_AREA, INT_COND, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.7707532373495056,0.29038800817600013,0.8173504270352822,276186.5950822993,1.0,,
6,"LU, GROSS_AREA, INT_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7943895623056995,0.2750107376224972,0.8167514888525821,267738.76640536153,1.0,,
6,"LU, LIVING_AREA, LAND_SF, YR_BUILT, neighborhood_walkability, neighborhood_name",55188,13797,0.752887463963665,0.30149107548150794,0.815857112030542,285416.91278907284,1.0,,
5,"LU, LIVING_AREA, YR_BUILT, neighborhood_walkability, neighborhood_name",55188,13797,0.7526644495172152,0.3016270898319413,0.8137848108940899,285430.98284983594,1.0,,
5,"LU, LIVING_AREA, LAND_SF, neighborhood_walkability, neighborhood_name",55188,13797,0.7489113435945219,0.3039069405493862,0.8136608145744808,286056.27835262124,1.0,,
4,"LU, LIVING_AREA, neighborhood_walkability, neighborhood_name",55188,13797,0.7477434273711145,0.3046129184062524,0.810590501289373,286243.3125125921,1.0,,
5,"LU, LIVING_AREA, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.7543005367158861,0.30062782584159414,0.8105242882249412,282757.5646493587,1.0,,
6,"LIVING_AREA, OVERALL_COND, BLDG_TYPE, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.7738216788076407,0.2884380562379951,0.808803543836202,283538.5218827292,1.0,,
6,"LU, GROSS_AREA, OVERALL_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7929313920415357,0.27598419015860665,0.807114858653943,271437.86525341443,1.0,,
6,"LIVING_AREA, INT_COND, OVERALL_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.7863095579457416,0.2803623043420418,0.8067748104367254,277097.9005780801,1.0,,
6,"LU, LAND_SF, GROSS_AREA, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.7667680589137268,0.29290115584245846,0.8045805731312455,274919.33969365084,1.0,,
5,"LIVING_AREA, INT_COND, YR_BUILT, neighborhood_walkability, neighborhood_name",55188,13797,0.7812117194925055,0.2836867811964266,0.8044271035397426,284188.362673649,1.0,,
